Epoch Loss Val_Loss LR
396 5.636e+00 6.660e+00 1.250e-04
397 5.663e+00 6.512e+00 1.250e-04
398 5.668e+00 6.618e+00 1.250e-04
399 5.660e+00 7.512e+00 1.250e-04
400 5.470e+00 6.648e+00 6.250e-05
401 5.457e+00 6.550e+00 6.250e-05
402 5.447e+00 6.458e+00 6.250e-05
403 5.465e+00 6.567e+00 6.250e-05
404 5.456e+00 6.460e+00 6.250e-05
405 5.436e+00 6.440e+00 6.250e-05
406 5.440e+00 6.689e+00 6.250e-05
407 5.459e+00 6.468e+00 6.250e-05
408 5.447e+00 6.441e+00 6.250e-05
409 5.429e+00 6.672e+00 6.250e-05
410 5.438e+00 6.528e+00 6.250e-05
411 5.437e+00 6.483e+00 6.250e-05
412 5.439e+00 6.585e+00 6.250e-05
413 5.425e+00 6.672e+00 6.250e-05
414 5.431e+00 6.455e+00 6.250e-05
415 5.437e+00 6.520e+00 6.250e-05
416 5.420e+00 6.407e+00 6.250e-05
417 5.418e+00 6.520e+00 6.250e-05
418 5.460e+00 6.446e+00 6.250e-05
419 5.400e+00 6.452e+00 6.250e-05
420 5.429e+00 6.439e+00 6.250e-05
421 5.433e+00 6.678e+00 6.250e-05
422 5.436e+00 6.527e+00 6.250e-05
423 5.418e+00 6.480e+00 6.250e-05
424 5.440e+00 6.620e+00 6.250e-05
425 5.423e+00 6.663e+00 6.250e-05
426 5.398e+00 6.511e+00 6.250e-05
427 5.416e+00 6.543e+00 6.250e-05
428 5.427e+00 6.503e+00 6.250e-05
429 5.402e+00 6.572e+00 6.250e-05
430 5.418e+00 6.465e+00 6.250e-05
431 5.402e+00 6.513e+00 6.250e-05
432 5.418e+00 6.429e+00 6.250e-05
433 5.433e+00 6.636e+00 6.250e-05
434 5.412e+00 6.434e+00 6.250e-05
435 5.417e+00 6.401e+00 6.250e-05
436 5.408e+00 6.536e+00 6.250e-05
437 5.408e+00 6.422e+00 6.250e-05
438 5.394e+00 6.520e+00 6.250e-05
439 5.405e+00 6.514e+00 6.250e-05
440 5.376e+00 6.530e+00 6.250e-05
441 5.398e+00 6.400e+00 6.250e-05
442 5.395e+00 6.553e+00 6.250e-05
443 5.410e+00 6.520e+00 6.250e-05
444 5.405e+00 6.474e+00 6.250e-05
445 5.416e+00 6.465e+00 6.250e-05
446 5.388e+00 6.413e+00 6.250e-05
447 5.395e+00 6.437e+00 6.250e-05
448 5.367e+00 6.728e+00 6.250e-05
449 5.414e+00 6.462e+00 6.250e-05
450 5.408e+00 6.594e+00 6.250e-05
451 5.401e+00 6.462e+00 6.250e-05
452 5.392e+00 6.424e+00 6.250e-05
453 5.382e+00 7.096e+00 6.250e-05
454 5.401e+00 6.431e+00 6.250e-05
455 5.370e+00 6.438e+00 6.250e-05
456 5.387e+00 6.621e+00 6.250e-05
457 5.381e+00 6.393e+00 6.250e-05
458 5.380e+00 6.404e+00 6.250e-05
